sub,patch,env,leaveT,meanLT,dmLeave
5,2,1,7.439632031,8.629635414,-1.190003383
5,3,1,9.761272209,8.629635414,1.131636795
5,3,1,10.8929444,8.629635414,2.263308988
5,1,1,5.849884124,8.629635414,-2.77975129
5,3,1,7.783423103,8.629635414,-0.846212311
5,3,1,6.711022656,8.629635414,-1.918612758
5,2,1,5.468141853,8.629635414,-3.161493561
5,3,1,11.29236576,8.629635414,2.662730344
5,1,1,6.301985453,8.629635414,-2.327649961
5,2,1,5.277278095,8.629635414,-3.352357319
5,2,1,6.428511362,8.629635414,-2.201124052
5,3,1,6.428193528,8.629635414,-2.201441886
5,2,1,5.472565554,8.629635414,-3.15706986
5,2,1,7.418277486,8.629635414,-1.211357928
5,1,1,5.514350005,8.629635414,-3.115285409
5,3,1,19.59420304,8.629635414,10.96456762
5,2,1,9.874392956,8.629635414,1.244757542
5,3,1,12.33346739,8.629635414,3.703831981
5,1,1,13.87755077,8.629635414,5.247915358
5,3,1,10.14514503,8.629635414,1.515509613
5,3,1,13.32574893,8.629635414,4.696113517
5,1,2,3.907885174,8.629635414,-4.72175024
5,1,2,5.478471304,8.629635414,-3.15116411
5,2,2,6.420778787,8.629635414,-2.208856627
5,1,2,6.573577171,8.629635414,-2.056058243
5,3,2,8.738460631,8.629635414,0.108825217
5,2,2,7.995450898,8.629635414,-0.634184516
5,2,2,9.232387143,8.629635414,0.602751729
5,1,2,4.830912213,8.629635414,-3.798723201
5,3,2,14.05784294,8.629635414,5.428207521
5,1,2,7.33375925,8.629635414,-1.295876164
5,1,2,7.814285733,8.629635414,-0.815349681
5,2,2,10.41379253,8.629635414,1.784157114
5,3,2,14.15253122,8.629635414,5.52289581
5,1,2,6.993363648,8.629635414,-1.636271766
5,2,2,11.40155222,8.629635414,2.77191681
5,1,2,10.07970133,8.629635414,1.450065918
5,1,2,7.04475657,8.629635414,-1.584878844
5,2,2,7.933404277,8.629635414,-0.696231137
5,3,2,10.13086654,8.629635414,1.501231128
5,1,2,5.193015473,8.629635414,-3.436619941
5,1,2,6.626704229,8.629635414,-2.002931185
5,1,2,3.104160132,8.629635414,-5.525475282
5,2,2,10.04755967,8.629635414,1.417924254
5,3,2,14.22062407,8.629635414,5.590988657
5,1,2,6.576682388,8.629635414,-2.052953026
5,2,2,9.147114893,8.629635414,0.517479479
5,2,2,10.44751631,8.629635414,1.817880893
5,1,2,4.006647257,8.629635414,-4.622988157
5,1,2,7.63834639,8.629635414,-0.991289024
5,3,2,18.5780121,8.629635414,9.948376682
5,1,2,8.293200273,8.629635414,-0.336435141
5,1,2,9.502252101,8.629635414,0.872616687
5,2,2,10.13889835,8.629635414,1.509262936
5,2,2,8.528436698,8.629635414,-0.101198716
5,1,2,8.770361112,8.629635414,0.140725698
5,2,2,8.939403678,8.629635414,0.309768264
5,3,2,8.395030048,8.629635414,-0.234605366
5,1,2,6.028348821,8.629635414,-2.601286593
